case,cohort,uma,deck,base_seed,run,variant,rule_seed,score,skill_pt,rmj_ok,free_race_ok,friend_all,five,error
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,ptblend200-capd0-rgn1-supermode1,5537831091231495819,67884,8936,3,true,true,3337/2319/1743/1334/1510,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,base,844278400871338572,68998,9396,3,true,true,3337/2400/2009/1386/1077,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,ptblend200,844278400871338572,68059,9170,3,true,true,3337/2400/1899/1346/1150,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,ptblend200-capd0-rgn1,844278400871338572,68891,9242,3,true,true,3337/2400/2071/1291/1112,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,ptblend200-capd0-rgn1-supermode3,844278400871338572,68891,9242,3,true,true,3337/2400/2071/1291/1112,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,7,ptblend200-capd0-rgn1-supermode1,844278400871338572,70545,9453,3,true,true,3337/2400/2200/1343/1112,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,base,345017473479344705,66739,8905,3,true,true,3337/2400/1543/1419/1461,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,ptblend200,345017473479344705,66739,8905,3,true,true,3337/2400/1543/1419/1461,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,ptblend200-capd0-rgn1,345017473479344705,66798,9035,3,true,true,3337/2244/1551/1318/1766,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,ptblend200-capd0-rgn1-supermode3,345017473479344705,66798,9035,3,true,true,3337/2244/1551/1318/1766,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,8,ptblend200-capd0-rgn1-supermode1,345017473479344705,66798,9035,3,true,true,3337/2244/1551/1318/1766,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,base,16052646003860713363,66145,9017,3,true,true,3337/1702/1726/1199/2064,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,ptblend200,16052646003860713363,66145,9017,3,true,true,3337/1702/1726/1199/2064,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,ptblend200-capd0-rgn1,16052646003860713363,66145,9017,3,true,true,3337/1702/1726/1199/2064,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,ptblend200-capd0-rgn1-supermode3,16052646003860713363,66145,9017,3,true,true,3337/1702/1726/1199/2064,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,9,ptblend200-capd0-rgn1-supermode1,16052646003860713363,66145,9017,3,true,true,3337/1702/1726/1199/2064,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,base,7824697627819198263,67391,8723,3,true,true,3337/2373/1391/1585/1647,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,ptblend200,7824697627819198263,66736,8555,3,true,true,3337/2324/1280/1470/1835,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,ptblend200-capd0-rgn1,7824697627819198263,66736,8555,3,true,true,3337/2324/1280/1470/1835,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,ptblend200-capd0-rgn1-supermode3,7824697627819198263,66736,8555,3,true,true,3337/2324/1280/1470/1835,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,0,ptblend200-capd0-rgn1-supermode1,7824697627819198263,66523,8526,3,true,true,3337/2324/1280/1470/1808,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,base,8381003435829733443,66183,8451,3,true,true,3337/2400/1294/1579/1587,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,ptblend200,8381003435829733443,66346,8407,3,true,true,3337/2400/1148/1579/1778,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,ptblend200-capd0-rgn1,8381003435829733443,66346,8407,3,true,true,3337/2400/1148/1579/1778,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,ptblend200-capd0-rgn1-supermode3,8381003435829733443,66346,8407,3,true,true,3337/2400/1148/1579/1778,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,1,ptblend200-capd0-rgn1-supermode1,8381003435829733443,66346,8407,3,true,true,3337/2400/1148/1579/1778,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,base,1158779688678979602,65414,8355,3,true,true,3337/2400/1094/1650/1626,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,ptblend200,1158779688678979602,65511,8326,3,true,true,3337/2400/1094/1456/1828,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,ptblend200-capd0-rgn1,1158779688678979602,65511,8326,3,true,true,3337/2400/1094/1456/1828,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,ptblend200-capd0-rgn1-supermode3,1158779688678979602,65511,8326,3,true,true,3337/2400/1094/1456/1828,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,2,ptblend200-capd0-rgn1-supermode1,1158779688678979602,64581,8288,3,true,true,3337/2232/1094/1266/2018,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,base,7213160632535205236,65002,8080,3,true,true,3337/2400/1165/1546/1623,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,ptblend200,7213160632535205236,63954,8056,3,true,true,3337/2229/1165/1395/1807,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,ptblend200-capd0-rgn1,7213160632535205236,63954,8056,3,true,true,3337/2229/1165/1395/1807,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,ptblend200-capd0-rgn1-supermode3,7213160632535205236,63954,8056,3,true,true,3337/2229/1165/1395/1807,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,3,ptblend200-capd0-rgn1-supermode1,7213160632535205236,63954,8056,3,true,true,3337/2229/1165/1395/1807,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,base,11980661888733814829,66883,8487,3,true,true,3337/2400/1519/1794/1226,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,ptblend200,11980661888733814829,66883,8487,3,true,true,3337/2400/1519/1794/1226,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,ptblend200-capd0-rgn1,11980661888733814829,66883,8487,3,true,true,3337/2400/1519/1794/1226,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,ptblend200-capd0-rgn1-supermode3,11980661888733814829,66076,8342,3,true,true,3337/2400/1542/1684/1226,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,4,ptblend200-capd0-rgn1-supermode1,11980661888733814829,66883,8487,3,true,true,3337/2400/1519/1794/1226,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,base,9766688491723538524,64009,8025,3,true,true,3337/2400/1373/1565/1176,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,ptblend200,9766688491723538524,64009,8025,3,true,true,3337/2400/1373/1565/1176,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,ptblend200-capd0-rgn1,9766688491723538524,64009,8025,3,true,true,3337/2400/1373/1565/1176,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,ptblend200-capd0-rgn1-supermode3,9766688491723538524,63917,8011,3,true,true,3337/2400/1360/1563/1176,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,5,ptblend200-capd0-rgn1-supermode1,9766688491723538524,64009,8025,3,true,true,3337/2400/1373/1565/1176,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,base,6315795816989683286,72260,9006,3,true,true,3337/2400/1262/1633/2333,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,ptblend200,6315795816989683286,71305,8952,3,true,true,3337/2400/1307/1561/2245,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,ptblend200-capd0-rgn1,6315795816989683286,71305,8952,3,true,true,3337/2400/1307/1561/2245,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,ptblend200-capd0-rgn1-supermode3,6315795816989683286,71305,8952,3,true,true,3337/2400/1307/1561/2245,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,6,ptblend200-capd0-rgn1-supermode1,6315795816989683286,71305,8952,3,true,true,3337/2400/1307/1561/2245,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,base,3058402553995587352,66811,8879,3,true,true,3337/2166/1506/1354/1859,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,ptblend200,3058402553995587352,66811,8879,3,true,true,3337/2166/1506/1354/1859,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,ptblend200-capd0-rgn1,3058402553995587352,66811,8879,3,true,true,3337/2166/1506/1354/1859,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,ptblend200-capd0-rgn1-supermode3,3058402553995587352,66811,8879,3,true,true,3337/2166/1506/1354/1859,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,ptblend200-capd0-rgn1-supermode1,3058402553995587352,66811,8879,3,true,true,3337/2166/1506/1354/1859,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,base,3735291524414723544,66689,8540,3,true,true,3337/2400/1356/1502/1638,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,ptblend200,3735291524414723544,67223,8519,3,true,true,3337/2400/1244/1502/1824,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,ptblend200-capd0-rgn1,3735291524414723544,67223,8519,3,true,true,3337/2400/1244/1502/1824,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,ptblend200-capd0-rgn1-supermode3,3735291524414723544,67223,8519,3,true,true,3337/2400/1244/1502/1824,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,ptblend200-capd0-rgn1-supermode1,3735291524414723544,67223,8519,3,true,true,3337/2400/1244/1502/1824,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,base,12531023380063193203,66648,8573,3,true,true,3337/2400/1249/1871/1429,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,ptblend200,12531023380063193203,66758,8533,3,true,true,3337/2400/1107/1871/1630,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,ptblend200-capd0-rgn1,12531023380063193203,66758,8533,3,true,true,3337/2400/1107/1871/1630,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,ptblend200-capd0-rgn1-supermode3,12531023380063193203,66148,8479,3,true,true,3337/2400/1107/1786/1630,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,ptblend200-capd0-rgn1-supermode1,12531023380063193203,66758,8533,3,true,true,3337/2400/1107/1871/1630,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,base,10025791034116697925,59830,8093,3,true,true,2271/2109/2200/597/2445,
